car,move
X,-2
A,-2
B,-2
C,-1
D,-1
G,-2
F,1
E,1
X,1
J,-2
H,-1
F,1
K,-1
L,-3
K,1
F,-1
H,1
G,1
J,2
E,-1
H,-1
F,1
K,-1
L,1
E,1
K,-1
G,-1
I,-1
X,-1
I,-2
K,1
L,-1
K,1
F,-1
H,3
E,-1
F,-1
G,4
B,2
D,1
F,1
E,1
J,-1
L,-1
H,-1
D,1
X,1
H,1
J,-1
A,2
C,1
J,-2
X,-1
D,-1
E,-1
F,-1
G,-1
I,-1
L,1
H,-1
X,1
D,1
J,1
H,1
A,-2
B,-2
D,-1
G,1
F,1
E,1
J,1
H,-1
I,1
H,-2
F,1
J,1
X,-1
J,1
E,-1
K,-1
C,-1
D,-1
E,1
K,-1
I,1
D,1
J,-1
L,-1
X,1
I,-1
K,1
B,1
J,-1
C,1
J,-1
E,-1
K,1
B,-1
F,-1
H,1
B,2
A,1
H,1
D,1
B,-1
J,-1
C,1
E,1
I,-1
L,1
C,-1
I,1
J,4
A,-1
C,-1
D,-1
E,-1
F,-1
G,-1
B,-1
D,-1
G,-3
F,1
E,1
J,-2
H,1
I,-1
L,-1
H,-3
F,1
K,-1
L,4
K,1
F,-1
H,1
I,1
J,2
E,-1
H,-1
G,1
X,-1
B,1
E,1
F,1
J,-1
K,-1
L,-1
K,-1
B,-1
I,1
G,-1
L,-3
X,1
I,-1
L,3
J,-1
G,1
K,1
B,1
A,1
L,1
K,1
F,-1
H,1
B,1
A,1
J,2
E,-1
F,-1
A,-2
B,-1
G,1
H,1
B,-1
X,1
G,-1
H,-2
F,2
E,1
J,-2
I,-1
K,-1
L,-3
I,1
K,1
F,-1
B,1
H,3
B,1
A,1
H,-1
X,-1
A,-1
J,2
E,-1
H,-1
X,1
F,-1
H,2
X,-1
B,-1
G,1
D,1
C,1
H,-3
X,1
G,2
F,1
E,1
H,1
A,1
B,1
J,-1
A,1
J,-2
E,-1
A,-1
F,-1
H,1
D,1
C,1
G,-1
I,-1
C,-1
L,-1
A,1
D,-1
J,-1
G,1
F,1
E,1
D,1
C,1
A,-1
J,1
A,-1
E,-1
X,-1
C,-1
X,2
D,-1
H,1
X,1
